Function Creation.T+,Function access.T+,Function access.T-;14;[netty_netty-f04d8ae99ad443cfa708b1a60f385a795b00f364, apache_tomcat-28ec72bd386de2038d27fcbdfcba6df88f0c0827, apache_tomcat-781d816a6e3a0ac095eb0978334243fad020ca3b, netty_netty-e3aca1f3d6f8ee2a2c016b65fab19728eb01bc6f, apache_tomcat-6b541758730fb0dabba8e040992eb03ee0e6da47, netty_netty-832ed0c19839472364f84761055b1351d340ac64, apache_derby-c7f3642c1edb3bb3457a4428f0546d6d99658874, apache_derby-c0052e0a3d24e8b9a3bea25e79505aa4d7d1182a, apache_tomcat-486bf35b975460dec93545413f7585370145a2e7, apache_tomcat-b9c7f748872be38b27324fc5e676d67a9a9651c0, ikasanEIP_ikasan-010eed8ba678cb9fafcfd1dc8225e093688e058e, netty_netty-aab71ccd8adf2363a0c51765386d37dc34593d8b, apache_tomcat-15464a57d26c1c69adc82a04f6d5a6630f318dad, apache_tomcat-ddd3c820c4d54e15d28730cb3b7078c1d6f6c85d]
Function Creation.S-,Operator expression.S-,Return modifier.S-,Return modifier.T+;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Flow loop control.T+,Function Creation.T+,Function access.T+,Operator expression.S-,Operator expression.T+;6;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_tomcat-7882209c5c4491fbfe42a3f358f56c6460b762f6, google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function Creation.S-,Function Creation.T+,Function access.S+,Operator expression.S+,Return modifier.T+;2;[facebook_fresco-a03506da4fe63439ee1fc4c9c99212df93dea02c, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Function access.S+,Function access.S-,Operator expression.S-,Return modifier.S-,Return modifier.T+;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Function Creation.S-,Function access.S-,Function access.T+,Return modifier.T+,Variable declaration.S-;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Function access.S+,Function access.S-,Operator expression.S-,Operator expression.T+;5;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, google_ExoPlayer-0a8dc41632fa4c95ff78bd33ccb06b586b09bbdb, google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, apache_derby-df2b52c079a2d106374760a4098c7ac9fa669bb0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Class Creation.T+,Function access.S-,Operator expression.T+;2;[facebook_fresco-1ed1423a626c35d1e27690a520b0381fc27bbfd7, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function access.S+,Function access.T+,Operator expression.S-,Variable declaration.T+;3;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function access.S+,Function access.T+,Operator expression.S-,Variable declaration.S+;3;[google_ExoPlayer-0a8dc41632fa4c95ff78bd33ccb06b586b09bbdb, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
