Function access.S-,Function access.T+,Operator expression.S-,Operator expression.T+,Variable declaration.T+;3;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Conditional.S-,Flow loop control.S-,Function access.T+,Operator expression.S-,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.S-,Conditional.T+,Flow loop control.S-,Function access.S-,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.S-,Conditional.T+,Flow loop control.S-,Function access.S-,Operator expression.S-;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Function Creation.S-,Function Creation.T-,Function access.S-,Function access.T+,Operator expression.T+;2;[netty_netty-a7f7d9c8e004aa13801424e6e665b1ec525a822f, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Comments.T-,Function Creation.S-,Function access.S-,Function access.T+,Return modifier.T+;2;[apache_derby-93ab830251aae84eb2391af83d99e391e3a36361, netty_netty-a7f7d9c8e004aa13801424e6e665b1ec525a822f]
Conditional.S-,Function access.S+,Function access.S-;2;[WhisperSystems_Signal-Android-cd085faecdf378b9245e73ffcfe36d93b61eeef2, google_ExoPlayer-d8e6b096c4b9eeaba2e49d8f28a5bf72bd8e6c0f]
Function Creation.T-,Operator expression.T+;2;[netty_netty-a7f7d9c8e004aa13801424e6e665b1ec525a822f, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Exception Handler.T+,Function Creation.S-,Variable declaration.T+;3;[apache_tomcat-b341c09ab21f85345dba2df9eb4551515dfc79f6, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_derby-85fc221dcc56edf92b8d9e9702c79e556e7b7710]
Function Creation.S-,Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-;2;[apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function Creation.S-,Function access.T+,Return modifier.T+;5;[apache_derby-93ab830251aae84eb2391af83d99e391e3a36361, apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, netty_netty-a7f7d9c8e004aa13801424e6e665b1ec525a822f, apache_tomcat-05c84ff8304a69a30b251f207a7b93c2c882564d, apache_tomcat-c0384f0363f51f77987cf519489056908b9e4731]
Function Creation.S-,Function access.T+,Return modifier.T-;2;[apache_derby-93ab830251aae84eb2391af83d99e391e3a36361, apache_tomcat-c0384f0363f51f77987cf519489056908b9e4731]
Function Creation.S-,Function access.T+,Return modifier.S-;5;[netty_netty-26cdadda9ea46c8fe4e87770360976480fd751ed, apache_derby-93ab830251aae84eb2391af83d99e391e3a36361, apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-cb85dc25aa74978c59ee04d83fac9728318cb77f, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function Creation.S-,Function access.S+,Operator expression.S+,Return modifier.S-,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
Conditional.S-,Flow loop control.T+,Function Creation.S-,Function access.T+,Operator expression.S-;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.S-,Flow loop control.T+,Function Creation.S-,Function access.T+,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Function access.T+,Variable declaration.S-,Variable declaration.T+;6;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-d34edade02a33248ab8408f00937742a1d72ad64, google_ExoPlayer-e40bba2852da6efb9e2141da0b237fe23900f393, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function access.S+,Return modifier.S-,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
